project_id,city,region,project_type,land_area_m2,building_area_m2,floors,units,finishing_level,construction_method,structural_system,concrete_m3,steel_ton,blocks_m2,tiles_m2,paint_m2,electrical_points,plumbing_points,estimated_cost_sar,duration_months,year
SA-R05778,Taif,Western,University,,80638.97691166986,6,409,Good,PostTension,RC Frame,112232,12278.22,870901,314492,1064434,72575,19353,1253530000,93.5,2022
SA-R05779,Madinah,Western,Mall,,73171.629691917,4,543,Premium,AAC,RC Frame,73564,8755.96,526836,190246,643910,43903,11707,1172320000,124,2020
SA-R05780,Khobar,Eastern,DataCenter,,3539.3000891946795,1,27,Good,ICF,RC Frame,1221,150.05,6371,2301,7786,531,142,10370000,26,2024
SA-R05781,Abha,Southern,Apartment_Building,,3087.2749526111124,9,16,UltraLuxury,Traditional,Shear Wall,5671,644.96,50014,18061,61128,4168,1111,274250000,29.5,2025
SA-R05782,Riyadh,Central,Mall,,12860.278916970938,5,91,Standard,SteelFrame,RC Frame,14584,1762.37,115743,41796,141463,9645,2572,131570000,58,2022
SA-R05783,Dammam,Eastern,Mall,,48418.14669961377,5,426,Premium,Traditional,RC Frame,50492,6018.1,435763,157359,532600,36314,9684,1002040000,92.5,2020
SA-R05784,Buraydah,Central,Hotel,,16595.276696013832,16,155,UltraLuxury,SlipForm,RC Frame,68960,8930.25,477944,172591,584154,39829,10621,2679310000,85.5,2024
SA-R05785,Tabuk,Northern,Parking,,6237.32909841924,1,41,Standard,SlipForm,RC Frame,998,91.63,11227,4054,13722,936,249,10040000,31,2025
SA-R05786,Dammam,Eastern,Factory,,13798.714393247948,3,89,Standard,PostTension,Precast,6888,667.94,74513,26907,91072,6209,1656,79160000,50.5,2025
SA-R05787,Jeddah,Western,Government_Building,,28165.168557819383,10,260,Premium,PostTension,RC Frame,63093,6870.68,506973,183074,619634,42248,11266,1226230000,84.5,2022
SA-R05788,Dammam,Eastern,Mosque,,4398.412268237994,2,33,UltraLuxury,SlipForm,RC Frame,1492,146.66,15834,5718,19353,1320,352,98460000,22.5,2023
SA-R05789,Abha,Southern,Apartment_Building,,2150.528289970319,7,23,UltraLuxury,PostTension,Shear Wall,3280,364.26,27097,9785,33118,2258,602,147620000,27.5,2025
SA-R05790,Khamis Mushait,Southern,Government_Building,,12525.018749610424,9,138,UltraLuxury,ICF,RC Frame,26801,2960.05,202905,73271,247995,16909,4509,1070160000,64.5,2023
SA-R05791,Makkah,Western,University,,55330.41374732732,4,320,Premium,Traditional,RC Frame,49831,5439.48,398379,143859,486908,33198,8853,889120000,75,2024
SA-R05792,Jeddah,Western,Mall,,10759.864748927776,3,86,Luxury,SlipForm,RC Frame,7793,936.81,58103,20982,71015,4842,1291,219530000,54.5,2025
SA-R05793,Dammam,Eastern,Mall,,61555.24353437187,2,714,Premium,Precast,RC Frame,31914,3931.02,221599,80022,270843,18467,4924,517800000,105,2025
SA-R05794,Abha,Southern,Apartment_Building,,3301.0705862503664,9,31,Standard,Traditional,Flat Slab,7558,837.11,53477,19311,65361,4456,1188,48530000,31,2021
SA-R05795,Taif,Western,Mall,,82796.35028402663,6,925,Good,SteelFrame,RC Frame,118190,14692.87,894201,322906,1092912,74517,19871,1303590000,128,2026
SA-R05796,Tabuk,Northern,Factory,,27946.339780474136,2,243,Premium,SteelFrame,Steel Frame,7565,760.31,100607,36330,122964,8384,2236,191860000,71,2022
SA-R05797,Madinah,Western,Mosque,,1082.964979405679,2,7,Raw,PostTension,RC Frame,384,38.51,3899,1408,4765,325,87,1980000,14,2022
SA-R05798,Taif,Western,Government_Building,,15296.171681306601,5,152,Good,SteelFrame,RC Frame,15893,1780.59,137666,49713,168258,11472,3059,192930000,61.5,2025
SA-R05799,Tabuk,Northern,Villa,186,494.2266282744206,2,1,Good,Traditional,Steel Frame,194,21.09,1779,642,2175,148,40,2450000,9,2021
SA-R05800,Buraydah,Central,Hotel,,26407.799672066685,31,143,Standard,Traditional,RC Frame,192907,24808.26,1473555,532117,1801012,122796,32746,1440090000,117.5,2022
SA-R05801,Khamis Mushait,Southern,Hotel,,27637.418457029766,6,140,Luxury,ICF,RC Frame,43626,5306.63,298484,107786,364814,24874,6633,894780000,86,2026
SA-R05802,Tabuk,Northern,Road,,,,,UltraLuxury,ICF,RC Frame,,,,,,,,0,16.5,2021
SA-R05803,Jeddah,Western,CommercialComplex,,13802.026587771203,6,140,Raw,Precast,RC Frame,21370,2528.77,149062,53828,182187,12422,3312,79890000,44,2021
SA-R05804,Hail,Northern,Bridge,,,,,Standard,PostTension,RC Frame,,,,,,,,0,16,2023
SA-R05805,Taif,Western,School,,6713.595179966259,3,37,Good,SlipForm,RC Frame,4167,458.91,36253,13092,44310,3021,806,50950000,32,2026
SA-R05806,Najran,Southern,Apartment_Building,,1756.902606547064,7,17,Raw,SteelFrame,Shear Wall,2709,334.31,22137,7994,27056,1845,492,9390000,24.5,2023
SA-R05807,Abha,Southern,University,,19175.139154429293,8,146,Raw,SteelFrame,RC Frame,39007,4429.71,276122,99711,337482,23010,6136,126130000,52.5,2021
SA-R05808,Khobar,Eastern,School,,8897.863026412,4,72,Raw,Precast,RC Frame,7804,836.88,64065,23134,78301,5339,1424,33980000,34,2020
SA-R05809,Madinah,Western,Luxury_Villa,1193,1864.1343482254722,3,1,Raw,Traditional,RC Frame,1343,156.52,10066,3635,12303,839,224,5110000,19,2023
SA-R05810,Makkah,Western,CommercialComplex,,4429.221684164569,10,28,Luxury,AAC,RC Frame,10147,1211.86,79726,28790,97443,6644,1772,291410000,33.5,2023
SA-R05811,Dammam,Eastern,CommercialComplex,,23683.166053938945,8,173,Premium,SlipForm,RC Frame,41223,4978.3,341038,123152,416824,28420,7579,790710000,53,2021
SA-R05812,Khobar,Eastern,School,,1799.8885003283376,4,13,Premium,Traditional,RC Frame,1478,159.67,12959,4680,15839,1080,288,32000000,19.5,2026
SA-R05813,Hail,Northern,Office_Building,,17870.05041512836,12,112,UltraLuxury,Precast,RC Frame,49116,5477.1,385993,139386,471769,32166,8578,2114430000,56.5,2024
SA-R05814,Tabuk,Northern,Government_Building,,26298.452252495368,7,143,Luxury,Precast,RC Frame,40186,4600.45,331360,119658,404996,27613,7364,1053050000,83,2022
SA-R05815,Buraydah,Central,DataCenter,,2312.5065393820305,2,12,UltraLuxury,SlipForm,RC Frame,937,124.85,8325,3006,10175,694,185,51530000,20,2024
SA-R05816,Khobar,Eastern,Residential_Tower,,16178.979468361787,54,133,UltraLuxury,SteelFrame,Core Wall,249079,32561.5,1572597,567882,1922063,131050,34947,10215280000,141.5,2022
SA-R05817,Madinah,Western,Road,,,,,Luxury,SlipForm,RC Frame,,,,,,,,0,15.5,2021
SA-R05818,Abha,Southern,Hospital,,25141.990796135175,10,274,UltraLuxury,AAC,Shear Wall,73738,10110.56,452556,163423,553124,37713,10057,2528180000,110,2024
SA-R05819,Madinah,Western,Hotel,,13310.019270462075,22,156,Luxury,SteelFrame,RC Frame,75948,9839.13,527077,190333,644205,43923,11713,1858760000,82.5,2020
SA-R05820,Jeddah,Western,Hotel,,8584.662852042806,35,53,Standard,PostTension,RC Frame,77703,9810.32,540834,195301,661019,45069,12019,575530000,91.5,2020
SA-R05821,Hail,Northern,Residential_Compound,,26898.28779974407,1,165,Standard,ICF,RC Frame,7143,714.05,48417,17484,59176,4035,1076,44340000,64,2026
SA-R05822,Taif,Western,CommercialComplex,,21879.415941983534,10,159,Raw,SteelFrame,RC Frame,54966,6388.52,393829,142216,481347,32819,8752,180140000,53.5,2022
SA-R05823,Taif,Western,Government_Building,,3646.7958011107494,7,30,Standard,Traditional,RC Frame,5822,641.45,45950,16593,56161,3829,1021,41550000,42.5,2026
SA-R05824,Khobar,Eastern,Luxury_Villa,409,963.5538612518759,3,1,Premium,SteelFrame,RC Frame,499,59.12,5203,1879,6359,434,116,12460000,15,2023
SA-R05825,Buraydah,Central,Road,,,,,Standard,PostTension,RC Frame,,,,,,,,0,16,2022
SA-R05826,Jeddah,Western,DataCenter,,4913.899575175708,2,26,Good,SlipForm,RC Frame,2357,314.51,17690,6388,21621,1474,393,26900000,28,2022
SA-R05827,Najran,Southern,Government_Building,,24546.146685238367,10,268,Luxury,SteelFrame,RC Frame,58274,6556.07,441831,159550,540015,36819,9818,1357260000,80,2026
SA-R05828,Najran,Southern,Townhouse_Project,,5042.13273602542,4,50,Good,PostTension,RC Frame,3718,408.27,36303,13110,44371,3025,807,46080000,31,2023
SA-R05829,Buraydah,Central,Office_Building,,19708.237619608346,12,107,Good,AAC,RC Frame,55840,6768.32,425698,153724,520297,35475,9460,635870000,61,2022
SA-R05830,Riyadh,Central,Bridge,,,,,Standard,Precast,RC Frame,,,,,,,,0,16,2026
SA-R05831,Buraydah,Central,Villa,509,1064.7893319559196,1,1,UltraLuxury,Precast,Load Bearing,209,23.69,1917,692,2343,160,43,10720000,10.5,2022
SA-R05832,Abha,Southern,Residential_Compound,,20537.757853202093,3,153,Premium,AAC,RC Frame,8341,819.15,110904,40049,135549,9242,2465,231760000,58,2022
SA-R05833,Khobar,Eastern,Bridge,,,,,Luxury,SteelFrame,RC Frame,,,,,,,,0,15,2025
SA-R05834,Makkah,Western,Residential_Compound,,38830.647333377194,2,362,UltraLuxury,PostTension,RC Frame,16121,1625.15,139790,50480,170855,11649,3106,854290000,75,2022
SA-R05835,Taif,Western,School,,9005.195534657825,3,88,UltraLuxury,SteelFrame,RC Frame,5362,541.75,48628,17560,59434,4052,1081,289690000,35,2022
SA-R05836,Jeddah,Western,Residential_Compound,,23763.057071250852,3,179,UltraLuxury,Precast,RC Frame,11083,1075.65,128321,46338,156836,10693,2852,820320000,62,2026
SA-R05837,Jeddah,Western,Warehouse,,2603.07267280605,2,25,Raw,ICF,Steel Frame,756,62.27,9371,3384,11454,781,208,5060000,18,2023
SA-R05838,Abha,Southern,Townhouse_Project,,14130.438180068108,3,81,UltraLuxury,AAC,RC Frame,7783,807.06,76304,27554,93261,6359,1696,402110000,48,2026
SA-R05839,Jeddah,Western,Office_Building,,2057.2524174578452,5,17,Luxury,Precast,RC Frame,2305,259.23,18515,6686,22630,1543,411,68390000,24.5,2025
SA-R05840,Taif,Western,Luxury_Villa,975,2026.8952633492063,3,1,Luxury,Precast,RC Frame,1112,131.99,10945,3952,13378,912,243,34860000,17.5,2022
SA-R05841,Abha,Southern,Factory,,10900.151001695687,1,57,UltraLuxury,SlipForm,Precast,2241,211.43,19620,7085,23980,1635,436,106150000,43.5,2021
SA-R05842,Madinah,Western,Factory,,46828.7876866589,2,342,Standard,AAC,Precast,17839,1718.52,168584,60877,206047,14049,3746,167890000,81,2021
SA-R05843,Makkah,Western,Apartment_Building,,3415.0847328939176,11,20,Standard,Traditional,RC Frame,9909,1105.6,67619,24418,82645,5635,1503,69820000,29.5,2025
SA-R05844,Jeddah,Western,Hotel,,12171.313859000187,30,103,Good,Traditional,RC Frame,88943,10820.3,657251,237341,803307,54771,14606,979190000,93,2020
SA-R05845,Khamis Mushait,Southern,Luxury_Villa,1132,2329.4859209581864,3,1,Premium,Precast,RC Frame,1631,195.66,12579,4542,15375,1048,280,24130000,19,2020
SA-R05846,Madinah,Western,Hotel,,15866.558234559607,40,120,Good,SteelFrame,RC Frame,164498,19820.11,1142392,412531,1396257,95199,25386,1662980000,100.5,2024
SA-R05847,Najran,Southern,Factory,,30981.681395550408,1,218,Raw,ICF,RC Frame,5843,550.57,55767,20138,68160,4647,1239,23290000,72,2023
SA-R05848,Abha,Southern,Residential_Compound,,18787.615948117244,1,119,Luxury,PostTension,RC Frame,4023,401.59,33818,12212,41333,2818,752,108260000,51.5,2023
SA-R05849,Hail,Northern,Bridge,,,,,Raw,Precast,RC Frame,,,,,,,,0,15.5,2023
SA-R05850,Taif,Western,University,,92334.78194888915,5,1040,Premium,Traditional,RC Frame,104521,11153.23,831013,300088,1015683,69251,18467,1762450000,103.5,2021
SA-R05851,Buraydah,Central,Office_Building,,2791.505025151432,11,28,Good,PostTension,RC Frame,7783,834.14,55272,19959,67554,4606,1228,82190000,29,2026
SA-R05852,Khamis Mushait,Southern,Residential_Compound,,43755.62547151715,1,284,Raw,SteelFrame,RC Frame,9359,1015.28,78760,28441,96262,6563,1750,33330000,85.5,2021
SA-R05853,Riyadh,Central,School,,2205.219891209943,3,17,Good,SlipForm,RC Frame,1172,121.85,11908,4300,14554,992,265,19770000,19,2026
SA-R05854,Abha,Southern,University,,17860.70609502714,6,171,UltraLuxury,PostTension,RC Frame,20020,2128.77,192896,69657,235761,16075,4287,1076150000,49,2023
SA-R05855,Madinah,Western,Apartment_Building,,6678.517208271691,6,52,Raw,Traditional,Shear Wall,9442,1073.85,72128,26046,88156,6011,1603,37820000,40,2020
SA-R05856,Taif,Western,DataCenter,,2327.949491557082,1,17,Luxury,AAC,RC Frame,692,85.88,4190,1513,5121,349,93,14220000,23,2021
SA-R05857,Khamis Mushait,Southern,University,,60415.17778262019,4,463,Luxury,Precast,RC Frame,56535,6451.41,434989,157079,531654,36249,9666,1316830000,79,2023
SA-R05858,Abha,Southern,Mall,,35545.53311437972,3,333,UltraLuxury,PostTension,RC Frame,27569,3033.7,191946,69314,234601,15995,4265,1017370000,85.5,2024
SA-R05859,Makkah,Western,School,,4784.571426706167,3,26,Luxury,SteelFrame,RC Frame,2860,301.4,25837,9330,31578,2153,574,95540000,24,2024
SA-R05860,Taif,Western,Office_Building,,14945.628848764203,20,141,UltraLuxury,Precast,RC Frame,64491,7809.71,538043,194293,657608,44837,11957,3110260000,59.5,2026
SA-R05861,Taif,Western,Parking,,19497.338175211426,1,137,UltraLuxury,Traditional,RC Frame,4630,430.31,35095,12673,42894,2925,780,201590000,55,2026
SA-R05862,Khamis Mushait,Southern,Luxury_Villa,789,1211.3536485673694,2,1,Luxury,Precast,RC Frame,425,50.09,4361,1575,5330,363,97,13220000,16.5,2021
SA-R05863,Taif,Western,Hospital,,41970.329549363625,6,223,Premium,AAC,Shear Wall,76224,10499.29,453280,163684,554008,37773,10073,1024520000,134,2020
SA-R05864,Hail,Northern,Road,,,,,UltraLuxury,ICF,RC Frame,,,,,,,,0,15.5,2020
SA-R05865,Riyadh,Central,Apartment_Building,,2611.811619443888,8,17,UltraLuxury,SlipForm,Flat Slab,4850,536.37,37610,13581,45968,3134,836,251240000,27.5,2025
SA-R05866,Najran,Southern,School,,1589.490148769028,3,16,Premium,AAC,RC Frame,1076,117.56,8583,3100,10491,715,191,15790000,17.5,2025
SA-R05867,Abha,Southern,DataCenter,,1763.2523694630722,3,13,UltraLuxury,AAC,RC Frame,1544,191.78,9522,3438,11637,793,212,50400000,23.5,2022
SA-R05868,Jeddah,Western,Bridge,,,,,Good,SteelFrame,RC Frame,,,,,,,,0,14.5,2021
SA-R05869,Riyadh,Central,Townhouse_Project,,8860.882998675264,3,52,UltraLuxury,Precast,RC Frame,5132,541.86,47849,17279,58482,3987,1063,298200000,36.5,2021
SA-R05870,Abha,Southern,University,,95145.35314679517,8,752,Standard,Precast,RC Frame,156828,17663.5,1370093,494756,1674558,114174,30447,1263040000,99,2020
SA-R05871,Abha,Southern,Mosque,,2886.267361080448,1,23,Standard,Precast,RC Frame,626,64.63,5195,1876,6350,433,115,4670000,17.5,2020
SA-R05872,Khamis Mushait,Southern,Office_Building,,16212.14072202339,10,161,Raw,SteelFrame,RC Frame,31124,3452.46,291819,105379,356667,24318,6485,122300000,52.5,2022
SA-R05873,Khamis Mushait,Southern,Apartment_Building,,2977.06281645142,8,16,Standard,SteelFrame,Flat Slab,6378,724.38,42870,15481,52396,3572,953,38520000,29,2024
SA-R05874,Abha,Southern,School,,9742.326681369703,1,80,Luxury,PostTension,RC Frame,2834,304.98,17536,6333,21433,1461,390,55620000,34,2022
SA-R05875,Dammam,Eastern,School,,8538.361194637246,3,49,Premium,AAC,RC Frame,5157,552.54,46107,16650,56353,3842,1025,105990000,34.5,2024
SA-R05876,Najran,Southern,Hotel,,25146.95500260663,17,176,Standard,SteelFrame,RC Frame,109805,14323.86,769497,277874,940496,64125,17100,649440000,90,2020
SA-R05877,Khamis Mushait,Southern,Road,,,,,Good,SteelFrame,RC Frame,,,,,,,,0,16,2022
SA-R05878,Khamis Mushait,Southern,Hotel,,29283.90650240964,22,200,Luxury,SteelFrame,RC Frame,160601,21022.5,1159643,418760,1417341,96637,25770,3467860000,97.5,2025
SA-R05879,Makkah,Western,Parking,,19964.627475829486,3,155,Standard,SteelFrame,RC Frame,8606,813.39,107809,38931,131767,8984,2396,105790000,54,2021
SA-R05880,Jeddah,Western,Townhouse_Project,,5285.417916068792,2,33,Premium,Traditional,RC Frame,2055,237.97,19028,6871,23256,1586,423,44890000,29.5,2025
SA-R05881,Makkah,Western,Apartment_Building,,6137.006762689,7,70,Standard,PostTension,RC Frame,10786,1167.69,77326,27923,94510,6444,1718,78430000,34,2026
SA-R05882,Riyadh,Central,Mall,,85970.263920011,4,729,UltraLuxury,ICF,RC Frame,74437,8922.3,618986,223523,756538,51582,13755,4013130000,134,2022
SA-R05883,Buraydah,Central,CommercialComplex,,6678.734602780907,5,53,Luxury,ICF,RC Frame,8625,1062.36,60109,21706,73466,5009,1336,205360000,37,2022
SA-R05884,Khamis Mushait,Southern,Residential_Tower,,18697.047209653712,17,121,Premium,SlipForm,Post Tension,88024,11038.22,572130,206602,699270,47677,12714,1128130000,101.5,2021
SA-R05885,Tabuk,Northern,Townhouse_Project,,14554.482290621128,2,95,Premium,SlipForm,RC Frame,5597,645.94,52396,18921,64040,4366,1164,106570000,47.5,2025
SA-R05886,Dammam,Eastern,Townhouse_Project,,2738.420888411415,4,18,UltraLuxury,Traditional,RC Frame,1817,196.5,19717,7120,24098,1643,438,119710000,27,2022
SA-R05887,Jeddah,Western,Luxury_Villa,683,1052.0228944153673,4,1,UltraLuxury,Precast,RC Frame,944,109.68,7575,2735,9258,631,168,49080000,16.5,2024
SA-R05888,Riyadh,Central,Residential_Tower,,20602.34889013323,52,144,UltraLuxury,Precast,Shear Wall,278151,34403.44,1928380,696359,2356909,160698,42853,13559980000,156.5,2023
SA-R05889,Jeddah,Western,Apartment_Building,,5661.038668918593,10,34,Standard,ICF,Flat Slab,14643,1686.08,101899,36797,124543,8492,2264,105820000,34.5,2021
SA-R05890,Najran,Southern,Townhouse_Project,,2068.3130440565237,4,12,UltraLuxury,ICF,RC Frame,1522,158.83,14892,5378,18201,1241,331,78050000,25,2025
SA-R05891,Najran,Southern,Townhouse_Project,,10461.127121870522,2,71,UltraLuxury,AAC,RC Frame,4254,449.56,37660,13599,46029,3138,837,192930000,42.5,2020
SA-R05892,Najran,Southern,Factory,,23382.11833558631,1,268,Standard,AAC,RC Frame,4752,481.13,42088,15198,51441,3507,935,36590000,66,2021
SA-R05893,Tabuk,Northern,Residential_Tower,,30062.75621607305,45,160,Raw,SteelFrame,Core Wall,394238,49799.42,2435083,879336,2976213,202924,54113,1056380000,144.5,2024
SA-R05894,Hail,Northern,Office_Building,,6711.356149597469,19,58,Raw,AAC,RC Frame,26066,2916.63,229528,82885,280535,19127,5101,102460000,44.5,2021
SA-R05895,Buraydah,Central,DataCenter,,2099.7188929666304,2,11,Standard,SteelFrame,RC Frame,1069,134.83,7559,2730,9239,630,168,7330000,21,2020
SA-R05896,Hail,Northern,Villa,488,848.9638999694939,3,1,UltraLuxury,AAC,Load Bearing,513,57.16,4584,1655,5603,382,102,25570000,11,2020
SA-R05897,Makkah,Western,CommercialComplex,,26193.63124047286,8,168,Luxury,ICF,RC Frame,44408,5478.93,377188,136207,461008,31432,8382,1288930000,63.5,2025
SA-R05898,Jeddah,Western,School,,3950.127498577679,3,45,Good,PostTension,RC Frame,2953,295.98,21331,7703,26071,1778,474,32600000,27,2022
SA-R05899,Najran,Southern,Warehouse,,8347.663598383595,1,100,Luxury,ICF,Steel Frame,1610,148.22,15026,5426,18365,1252,334,44670000,28.5,2022
SA-R05900,Dammam,Eastern,Factory,,31789.310778458945,2,296,Standard,Precast,Steel Frame,8464,762.69,114442,41326,139873,9537,2543,113190000,75.5,2023
SA-R05901,Taif,Western,Townhouse_Project,,2495.404309006816,4,22,Premium,SteelFrame,RC Frame,1996,224.9,17967,6488,21960,1497,399,37370000,25,2023
SA-R05902,Taif,Western,Residential_Tower,,11181.709874118746,25,73,Standard,SlipForm,Shear Wall,81459,10315.52,503177,181703,614994,41931,11182,487600000,92.5,2022
SA-R05903,Riyadh,Central,Road,,,,,Luxury,Traditional,RC Frame,,,,,,,,0,16,2023
SA-R05904,Hail,Northern,Townhouse_Project,,7703.760808847164,2,40,Standard,Traditional,RC Frame,2913,324.42,27734,10015,33897,2311,616,24300000,35,2024
SA-R05905,Makkah,Western,Warehouse,,5136.016469332631,2,52,Premium,SteelFrame,Steel Frame,1533,128.64,18490,6677,22598,1541,411,43280000,23.5,2023
SA-R05906,Makkah,Western,Road,,,,,Good,ICF,RC Frame,,,,,,,,0,15.5,2025
SA-R05907,Dammam,Eastern,CommercialComplex,,19485.090538316483,9,150,Premium,Traditional,RC Frame,43516,4673.99,315658,113988,385805,26305,7015,717550000,59,2023
SA-R05908,Taif,Western,Apartment_Building,,6835.550441376684,4,51,Standard,SteelFrame,RC Frame,6685,761.75,49216,17772,60153,4101,1094,44510000,35,2023
SA-R05909,Riyadh,Central,Bridge,,,,,Raw,SteelFrame,RC Frame,,,,,,,,0,17,2024
SA-R05910,Hail,Northern,Mosque,,4386.2450552659475,1,30,UltraLuxury,Precast,RC Frame,985,95.69,7895,2851,9650,658,175,42420000,21.5,2022
SA-R05911,Riyadh,Central,Road,,,,,Raw,PostTension,RC Frame,,,,,,,,0,16,2025
SA-R05912,Riyadh,Central,Road,,,,,Luxury,Precast,RC Frame,,,,,,,,0,15,2023
SA-R05913,Najran,Southern,Residential_Compound,,19301.187832092794,2,144,Raw,ICF,RC Frame,6452,658.09,69484,25092,84925,5790,1544,29990000,56,2022
SA-R05914,Tabuk,Northern,Hotel,,14314.743738601623,10,82,Premium,SlipForm,RC Frame,31966,4050.03,257665,93046,314924,21472,5726,485570000,75,2022
SA-R05915,Madinah,Western,Factory,,48088.16721406982,1,408,Luxury,SteelFrame,Steel Frame,10545,977.85,86559,31257,105794,7213,1924,313390000,88.5,2024
SA-R05916,Madinah,Western,Residential_Tower,,17868.16136203352,39,147,Luxury,Traditional,Flat Slab,176882,21663.87,1254345,452958,1533088,104529,27874,4194620000,116.5,2022
SA-R05917,Madinah,Western,Mosque,,2782.2545678057213,3,17,Premium,Traditional,RC Frame,1632,169.71,15024,5425,18363,1252,334,33780000,20.5,2025
SA-R05918,Buraydah,Central,School,,9014.348532374339,1,56,Luxury,Traditional,RC Frame,2345,234.63,16226,5859,19832,1352,361,56690000,34,2022
SA-R05919,Buraydah,Central,Office_Building,,15005.788251922613,8,138,Standard,Precast,RC Frame,24140,2697.08,216083,78030,264102,18007,4802,217400000,51.5,2025
SA-R05920,Khamis Mushait,Southern,Government_Building,,21502.471364197998,7,117,UltraLuxury,SlipForm,RC Frame,31542,3447.1,270931,97836,331138,22578,6021,1346930000,78.5,2025
SA-R05921,Khobar,Eastern,Hotel,,29666.15789598178,28,211,UltraLuxury,AAC,RC Frame,212757,26260.06,1495174,539924,1827435,124598,33226,9691040000,103.5,2022
SA-R05922,Makkah,Western,Hotel,,19208.124213883846,26,100,Raw,SlipForm,RC Frame,117786,15017.48,898940,324617,1098705,74912,19976,469710000,98.5,2020
SA-R05923,Madinah,Western,Hospital,,76299.08734266038,14,553,Raw,Traditional,RC Frame,354353,43978.23,1922737,694322,2350012,160228,42727,939030000,184,2026
SA-R05924,Jeddah,Western,Townhouse_Project,,8152.977723547472,4,78,UltraLuxury,Traditional,RC Frame,6469,717.2,58701,21198,71746,4892,1304,381030000,41.5,2022
SA-R05925,Madinah,Western,Parking,,5942.750387964052,3,43,Standard,SlipForm,RC Frame,3080,282.11,32091,11588,39222,2674,713,32340000,32.5,2020
SA-R05926,Hail,Northern,Factory,,13582.945280568254,2,84,Raw,PostTension,RC Frame,4066,378.09,48899,17658,59765,4075,1087,22760000,55.5,2022
SA-R05927,Abha,Southern,Hotel,,12030.934188414594,6,85,Good,AAC,RC Frame,16313,2166.74,129934,46921,158808,10828,2887,178230000,63.5,2021
SA-R05928,Abha,Southern,Residential_Tower,,9904.71592584933,38,76,Standard,SteelFrame,Shear Wall,111350,14565.43,677483,244646,828034,56457,15055,641790000,100.5,2025
SA-R05929,Khobar,Eastern,Government_Building,,13403.26120458558,7,124,Premium,Precast,RC Frame,18505,1933.45,168881,60985,206410,14073,3753,419450000,63,2023
SA-R05930,Makkah,Western,Bridge,,,,,UltraLuxury,ICF,RC Frame,,,,,,,,0,16.5,2023
SA-R05931,Makkah,Western,Parking,,17461.244463471783,1,100,UltraLuxury,SteelFrame,RC Frame,4300,388.36,31430,11350,38415,2619,698,199270000,42.5,2026
SA-R05932,Hail,Northern,CommercialComplex,,16393.35347736953,8,150,UltraLuxury,AAC,RC Frame,33582,4086.88,236064,85245,288523,19672,5246,1264010000,48,2022
SA-R05933,Madinah,Western,DataCenter,,3380.6968624435785,2,18,Standard,Traditional,RC Frame,1592,216.5,12171,4395,14875,1014,270,12290000,24.5,2025
SA-R05934,Khobar,Eastern,DataCenter,,810.9188110119205,3,9,Good,AAC,RC Frame,718,86.85,4379,1581,5352,365,97,7170000,17,2020
SA-R05935,Riyadh,Central,DataCenter,,2050.9769608938705,1,25,Raw,ICF,RC Frame,695,91.09,3692,1333,4512,308,82,2080000,20.5,2020
SA-R05936,Riyadh,Central,Government_Building,,9462.959834937796,8,58,Good,AAC,RC Frame,16208,1793.48,136267,49207,166548,11356,3028,225450000,53.5,2026
SA-R05937,Dammam,Eastern,School,,9514.86537929914,3,114,Premium,PostTension,RC Frame,7168,714.43,51380,18554,62798,4282,1142,121240000,35,2023
SA-R05938,Buraydah,Central,Factory,,7655.993140342374,3,39,Good,SteelFrame,RC Frame,3843,350.53,41342,14929,50530,3445,919,63550000,45,2026
SA-R05939,Jeddah,Western,Apartment_Building,,6001.3512693652065,6,46,Luxury,SlipForm,RC Frame,6814,786.29,64815,23405,79218,5401,1440,233960000,31.5,2024
SA-R05940,Makkah,Western,DataCenter,,3354.063139945899,4,21,Standard,ICF,RC Frame,2991,387.84,24149,8721,29516,2012,537,24370000,27,2025
SA-R05941,Dammam,Eastern,DataCenter,,4048.838979491617,4,42,Raw,PostTension,RC Frame,3999,506.25,29152,10527,35630,2429,648,15450000,28,2020
SA-R05942,Najran,Southern,Factory,,5527.791673443498,2,30,Good,AAC,Steel Frame,1651,160.44,19900,7186,24322,1658,442,26680000,35.5,2026
SA-R05943,Jeddah,Western,Villa,398,741.3470865632778,1,1,Luxury,SteelFrame,Steel Frame,174,19.07,1334,482,1631,111,30,4970000,10,2022
SA-R05944,Abha,Southern,Parking,,17361.362021028253,1,127,Good,Precast,RC Frame,3964,349.61,31250,11285,38195,2604,694,43750000,47,2021
SA-R05945,Buraydah,Central,Parking,,11810.83364562501,1,87,UltraLuxury,ICF,RC Frame,2483,219.68,21260,7677,25984,1772,472,125060000,38,2023
SA-R05946,Khobar,Eastern,School,,9116.276446549524,1,52,Raw,SlipForm,RC Frame,2338,235.84,16409,5926,20056,1367,365,8950000,30,2020
SA-R05947,Hail,Northern,School,,8546.5906103497,3,80,Luxury,Traditional,RC Frame,6193,628.09,46152,16666,56407,3846,1026,151930000,34,2021
SA-R05948,Taif,Western,Mall,,81717.12342413409,2,503,Premium,PostTension,RC Frame,42570,4996.71,294182,106232,359555,24515,6537,615980000,124,2023
SA-R05949,Tabuk,Northern,Townhouse_Project,,14004.661578231973,3,83,Premium,SteelFrame,RC Frame,7911,845.56,75625,27309,92431,6302,1681,151090000,46,2024
