raw_description,project_type,city,area_m2,floors,finishing_level,confidence,source
مشروع Hotel في Khamis Mushait بمساحة 15899 م² وعدد 27 أدوار. يشمل المبنى تشطيبات عالية الجودة.,Hotel,Khamis Mushait,15944,28,Luxury,89,synthetic
"Project: Parking in Jeddah, built-up area 3651 sqm, 9 floors. Quality finishing required.",Parking,Jeddah,3438,9,Standard,90,synthetic
إنشاء Hotel في مدينة Buraydah بمساحة إجمالية 13630 متر مربع مكون من 9 طوابق.,Hotel,Buraydah,13732,8,UltraLuxury,94,synthetic
Factory Najran على أرض مساحتها 24757 م²، مساحة البناء 10975 م²، 20 أدوار.,Factory,Najran,10502,20,Good,60,synthetic
Development of a Factory in Hail with a total area of 484 square meters across 21 floors.,Factory,Hail,465,21,Standard,95,synthetic
مشروع Townhouse_Project في Tabuk بمساحة 6016 م² وعدد 19 أدوار. يشمل المبنى تشطيبات عالية الجودة.,Townhouse_Project,Tabuk,5870,19,Standard,96,synthetic
مشروع Luxury_Villa في Jeddah بمساحة 12010 م² وعدد 11 أدوار. يشمل المبنى تشطيبات عالية الجودة.,Luxury_Villa,Jeddah,11719,11,Premium,65,synthetic
Development of a DataCenter in Najran with a total area of 18943 square meters across 18 floors.,DataCenter,Najran,19764,18,Raw,61,synthetic
"Project: Factory in Makkah, built-up area 16103 sqm, 15 floors. Quality finishing required.",Factory,Makkah,15735,15,UltraLuxury,88,synthetic
Factory Riyadh على أرض مساحتها 46454 م²، مساحة البناء 16645 م²، 30 أدوار.,Factory,Riyadh,16542,30,Good,82,synthetic
Bridge Jeddah على أرض مساحتها 28495 م²، مساحة البناء 15862 م²، 18 أدوار.,Bridge,Jeddah,15755,18,Standard,91,synthetic
CommercialComplex Najran على أرض مساحتها 29371 م²، مساحة البناء 11571 م²، 10 أدوار.,CommercialComplex,Najran,11039,10,Raw,67,synthetic
Government_Building Makkah على أرض مساحتها 40062 م²، مساحة البناء 16087 م²، 16 أدوار.,Government_Building,Makkah,16779,17,UltraLuxury,77,synthetic
Development of a Residential_Tower in Taif with a total area of 19971 square meters across 9 floors.,Residential_Tower,Taif,19809,9,Premium,63,synthetic
مشروع Townhouse_Project في Abha بمساحة 19866 م² وعدد 23 أدوار. يشمل المبنى تشطيبات عالية الجودة.,Townhouse_Project,Abha,19601,22,UltraLuxury,87,synthetic
إنشاء Parking في مدينة Buraydah بمساحة إجمالية 2442 متر مربع مكون من 6 طوابق.,Parking,Buraydah,2461,6,Good,62,synthetic
Development of a Villa in Hail with a total area of 7243 square meters across 23 floors.,Villa,Hail,7065,24,Luxury,83,synthetic
Parking Buraydah على أرض مساحتها 11831 م²، مساحة البناء 7363 م²، 28 أدوار.,Parking,Buraydah,7090,27,UltraLuxury,86,synthetic
مشروع Bridge في Makkah بمساحة 14537 م² وعدد 21 أدوار. يشمل المبنى تشطيبات عالية الجودة.,Bridge,Makkah,13561,20,Standard,93,synthetic
School Makkah على أرض مساحتها 49386 م²، مساحة البناء 16341 م²، 16 أدوار.,School,Makkah,15893,15,Luxury,81,synthetic
Road Tabuk على أرض مساحتها 17754 م²، مساحة البناء 10387 م²، 22 أدوار.,Road,Tabuk,10842,22,UltraLuxury,65,synthetic
مشروع Parking في Dammam بمساحة 586 م² وعدد 21 أدوار. يشمل المبنى تشطيبات عالية الجودة.,Parking,Dammam,575,22,UltraLuxury,60,synthetic
مشروع Residential_Tower في Khamis Mushait بمساحة 16221 م² وعدد 28 أدوار. يشمل المبنى تشطيبات عالية الجودة.,Residential_Tower,Khamis Mushait,16445,27,UltraLuxury,93,synthetic
Villa Hail على أرض مساحتها 36779 م²، مساحة البناء 19410 م²، 3 أدوار.,Villa,Hail,21350,3,Premium,93,synthetic
Development of a Hospital in Khobar with a total area of 4907 square meters across 3 floors.,Hospital,Khobar,4972,3,Good,80,synthetic
إنشاء Bridge في مدينة Buraydah بمساحة إجمالية 4316 متر مربع مكون من 12 طوابق.,Bridge,Buraydah,4034,12,Raw,90,synthetic
Factory Tabuk على أرض مساحتها 31456 م²، مساحة البناء 9877 م²، 15 أدوار.,Factory,Tabuk,9134,15,Luxury,85,synthetic
إنشاء CommercialComplex في مدينة Khamis Mushait بمساحة إجمالية 8576 متر مربع مكون من 8 طوابق.,CommercialComplex,Khamis Mushait,8421,8,Luxury,95,synthetic
Development of a Hospital in Najran with a total area of 1948 square meters across 7 floors.,Hospital,Najran,2038,7,Raw,92,synthetic
إنشاء Warehouse في مدينة Khamis Mushait بمساحة إجمالية 9502 متر مربع مكون من 29 طوابق.,Warehouse,Khamis Mushait,9328,28,Standard,64,synthetic
مشروع DataCenter في Taif بمساحة 8363 م² وعدد 11 أدوار. يشمل المبنى تشطيبات عالية الجودة.,DataCenter,Taif,8141,11,UltraLuxury,62,synthetic
"Project: Villa in Madinah, built-up area 756 sqm, 26 floors. Quality finishing required.",Villa,Madinah,760,25,UltraLuxury,94,synthetic
Development of a Bridge in Dammam with a total area of 6252 square meters across 22 floors.,Bridge,Dammam,6293,23,Raw,96,synthetic
Development of a Hospital in Hail with a total area of 19522 square meters across 24 floors.,Hospital,Hail,19304,24,Premium,81,synthetic
إنشاء Hospital في مدينة Khamis Mushait بمساحة إجمالية 6893 متر مربع مكون من 1 طوابق.,Hospital,Khamis Mushait,7203,1,Standard,84,synthetic
إنشاء School في مدينة Abha بمساحة إجمالية 8950 متر مربع مكون من 13 طوابق.,School,Abha,8875,12,Standard,69,synthetic
مشروع Luxury_Villa في Najran بمساحة 14611 م² وعدد 15 أدوار. يشمل المبنى تشطيبات عالية الجودة.,Luxury_Villa,Najran,13550,16,UltraLuxury,82,synthetic
Development of a Apartment_Building in Jeddah with a total area of 325 square meters across 7 floors.,Apartment_Building,Jeddah,314,7,Raw,62,synthetic
مشروع Road في Jeddah بمساحة 14041 م² وعدد 27 أدوار. يشمل المبنى تشطيبات عالية الجودة.,Road,Jeddah,13896,26,Luxury,64,synthetic
مشروع School في Buraydah بمساحة 9567 م² وعدد 21 أدوار. يشمل المبنى تشطيبات عالية الجودة.,School,Buraydah,9209,20,Raw,78,synthetic
مشروع School في Khamis Mushait بمساحة 3417 م² وعدد 29 أدوار. يشمل المبنى تشطيبات عالية الجودة.,School,Khamis Mushait,3521,26,UltraLuxury,66,synthetic
Development of a Office_Building in Jeddah with a total area of 7732 square meters across 8 floors.,Office_Building,Jeddah,7491,8,Premium,98,synthetic
إنشاء Hotel في مدينة Madinah بمساحة إجمالية 1932 متر مربع مكون من 6 طوابق.,Hotel,Madinah,1910,6,UltraLuxury,67,synthetic
إنشاء Hospital في مدينة Jeddah بمساحة إجمالية 4343 متر مربع مكون من 13 طوابق.,Hospital,Jeddah,4007,13,Good,85,synthetic
Bridge Buraydah على أرض مساحتها 57583 م²، مساحة البناء 18053 م²، 7 أدوار.,Bridge,Buraydah,17224,7,Good,72,synthetic
"Project: Apartment_Building in Abha, built-up area 4341 sqm, 13 floors. Quality finishing required.",Apartment_Building,Abha,4354,14,Standard,60,synthetic
Villa Taif على أرض مساحتها 25045 م²، مساحة البناء 14923 م²، 24 أدوار.,Villa,Taif,14616,24,Premium,63,synthetic
مشروع CommercialComplex في Buraydah بمساحة 1950 م² وعدد 13 أدوار. يشمل المبنى تشطيبات عالية الجودة.,CommercialComplex,Buraydah,1883,13,Premium,64,synthetic
"Project: Residential_Tower in Dammam, built-up area 9914 sqm, 24 floors. Quality finishing required.",Residential_Tower,Dammam,9999,23,Good,70,synthetic
Development of a Hotel in Abha with a total area of 3129 square meters across 9 floors.,Hotel,Abha,3067,9,Good,65,synthetic
"Project: Luxury_Villa in Taif, built-up area 12160 sqm, 22 floors. Quality finishing required.",Luxury_Villa,Taif,12428,23,Raw,67,synthetic
Luxury_Villa Khobar على أرض مساحتها 7169 م²، مساحة البناء 4089 م²، 20 أدوار.,Luxury_Villa,Khobar,3869,19,Luxury,81,synthetic
إنشاء School في مدينة Taif بمساحة إجمالية 16121 متر مربع مكون من 6 طوابق.,School,Taif,15832,6,Raw,65,synthetic
Development of a Residential_Compound in Dammam with a total area of 1977 square meters across 17 floors.,Residential_Compound,Dammam,1892,16,Standard,67,synthetic
مشروع Office_Building في Madinah بمساحة 7210 م² وعدد 25 أدوار. يشمل المبنى تشطيبات عالية الجودة.,Office_Building,Madinah,7475,24,Luxury,86,synthetic
Development of a Warehouse in Khamis Mushait with a total area of 8840 square meters across 23 floors.,Warehouse,Khamis Mushait,9221,21,Premium,85,synthetic
مشروع School في Riyadh بمساحة 19034 م² وعدد 12 أدوار. يشمل المبنى تشطيبات عالية الجودة.,School,Riyadh,19397,12,Raw,85,synthetic
Luxury_Villa Riyadh على أرض مساحتها 4710 م²، مساحة البناء 3078 م²، 11 أدوار.,Luxury_Villa,Riyadh,3052,11,UltraLuxury,66,synthetic
إنشاء Hotel في مدينة Abha بمساحة إجمالية 12102 متر مربع مكون من 11 طوابق.,Hotel,Abha,11488,11,Standard,88,synthetic
إنشاء DataCenter في مدينة Dammam بمساحة إجمالية 15598 متر مربع مكون من 24 طوابق.,DataCenter,Dammam,15234,26,Raw,63,synthetic
إنشاء Warehouse في مدينة Abha بمساحة إجمالية 1763 متر مربع مكون من 24 طوابق.,Warehouse,Abha,1782,24,Luxury,77,synthetic
Development of a University in Riyadh with a total area of 4401 square meters across 21 floors.,University,Riyadh,4601,21,Good,68,synthetic
إنشاء Residential_Compound في مدينة Madinah بمساحة إجمالية 19324 متر مربع مكون من 19 طوابق.,Residential_Compound,Madinah,19112,19,Luxury,87,synthetic
إنشاء DataCenter في مدينة Buraydah بمساحة إجمالية 11278 متر مربع مكون من 8 طوابق.,DataCenter,Buraydah,12031,8,Raw,69,synthetic
Warehouse Tabuk على أرض مساحتها 13691 م²، مساحة البناء 7243 م²، 16 أدوار.,Warehouse,Tabuk,7144,16,Good,65,synthetic
إنشاء Hospital في مدينة Makkah بمساحة إجمالية 637 متر مربع مكون من 30 طوابق.,Hospital,Makkah,612,31,Standard,68,synthetic
Residential_Tower Makkah على أرض مساحتها 3582 م²، مساحة البناء 2503 م²، 11 أدوار.,Residential_Tower,Makkah,2282,11,Luxury,63,synthetic
"Project: CommercialComplex in Dammam, built-up area 19401 sqm, 4 floors. Quality finishing required.",CommercialComplex,Dammam,19573,4,UltraLuxury,68,synthetic
مشروع Hospital في Khamis Mushait بمساحة 15884 م² وعدد 25 أدوار. يشمل المبنى تشطيبات عالية الجودة.,Hospital,Khamis Mushait,15876,24,Good,72,synthetic
Development of a Road in Najran with a total area of 19548 square meters across 23 floors.,Road,Najran,19837,22,Premium,88,synthetic
DataCenter Jeddah على أرض مساحتها 11211 م²، مساحة البناء 3998 م²، 29 أدوار.,DataCenter,Jeddah,4132,29,Standard,60,synthetic
Development of a Road in Makkah with a total area of 4716 square meters across 25 floors.,Road,Makkah,4871,24,Luxury,63,synthetic
Apartment_Building Riyadh على أرض مساحتها 34409 م²، مساحة البناء 10858 م²، 16 أدوار.,Apartment_Building,Riyadh,11000,16,Good,73,synthetic
Development of a CommercialComplex in Dammam with a total area of 17629 square meters across 10 floors.,CommercialComplex,Dammam,17611,10,Good,65,synthetic
Development of a Luxury_Villa in Madinah with a total area of 18538 square meters across 21 floors.,Luxury_Villa,Madinah,19050,21,Premium,87,synthetic
"Project: University in Hail, built-up area 2481 sqm, 13 floors. Quality finishing required.",University,Hail,2345,13,UltraLuxury,70,synthetic
Development of a Luxury_Villa in Makkah with a total area of 15991 square meters across 16 floors.,Luxury_Villa,Makkah,15424,16,Standard,97,synthetic
Bridge Makkah على أرض مساحتها 22274 م²، مساحة البناء 11110 م²، 3 أدوار.,Bridge,Makkah,11190,3,Premium,93,synthetic
مشروع Mall في Khamis Mushait بمساحة 7276 م² وعدد 5 أدوار. يشمل المبنى تشطيبات عالية الجودة.,Mall,Khamis Mushait,7239,5,Premium,94,synthetic
CommercialComplex Khamis Mushait على أرض مساحتها 17896 م²، مساحة البناء 9343 م²، 14 أدوار.,CommercialComplex,Khamis Mushait,9441,15,Luxury,71,synthetic
إنشاء Luxury_Villa في مدينة Taif بمساحة إجمالية 1765 متر مربع مكون من 9 طوابق.,Luxury_Villa,Taif,1864,9,Premium,73,synthetic
CommercialComplex Taif على أرض مساحتها 19115 م²، مساحة البناء 10658 م²، 20 أدوار.,CommercialComplex,Taif,10781,20,Luxury,78,synthetic
Mosque Tabuk على أرض مساحتها 8703 م²، مساحة البناء 6001 م²، 13 أدوار.,Mosque,Tabuk,6054,13,Good,60,synthetic
DataCenter Dammam على أرض مساحتها 32759 م²، مساحة البناء 10632 م²، 4 أدوار.,DataCenter,Dammam,11109,4,UltraLuxury,76,synthetic
Development of a Mosque in Taif with a total area of 11576 square meters across 7 floors.,Mosque,Taif,11729,7,Good,97,synthetic
"Project: Mosque in Abha, built-up area 4400 sqm, 30 floors. Quality finishing required.",Mosque,Abha,4165,31,Luxury,80,synthetic
Development of a Parking in Khamis Mushait with a total area of 3255 square meters across 15 floors.,Parking,Khamis Mushait,3296,15,Raw,89,synthetic
إنشاء Warehouse في مدينة Hail بمساحة إجمالية 2885 متر مربع مكون من 21 طوابق.,Warehouse,Hail,2886,21,UltraLuxury,80,synthetic
Development of a Mosque in Dammam with a total area of 1589 square meters across 2 floors.,Mosque,Dammam,1531,2,Standard,93,synthetic
إنشاء Townhouse_Project في مدينة Najran بمساحة إجمالية 5362 متر مربع مكون من 3 طوابق.,Townhouse_Project,Najran,5305,3,Raw,74,synthetic
"Project: Residential_Tower in Makkah, built-up area 2470 sqm, 23 floors. Quality finishing required.",Residential_Tower,Makkah,2533,24,Raw,77,synthetic
Government_Building Riyadh على أرض مساحتها 36822 م²، مساحة البناء 16346 م²، 2 أدوار.,Government_Building,Riyadh,16468,2,Good,91,synthetic
إنشاء Villa في مدينة Abha بمساحة إجمالية 5613 متر مربع مكون من 23 طوابق.,Villa,Abha,5530,23,Good,63,synthetic
Villa Madinah على أرض مساحتها 18500 م²، مساحة البناء 10824 م²، 26 أدوار.,Villa,Madinah,11000,24,Raw,72,synthetic
Residential_Compound Madinah على أرض مساحتها 22229 م²، مساحة البناء 14832 م²، 22 أدوار.,Residential_Compound,Madinah,14964,21,Luxury,81,synthetic
"Project: Apartment_Building in Madinah, built-up area 14918 sqm, 24 floors. Quality finishing required.",Apartment_Building,Madinah,15230,24,Premium,96,synthetic
Mosque Madinah على أرض مساحتها 5665 م²، مساحة البناء 3899 م²، 9 أدوار.,Mosque,Madinah,3936,9,Premium,92,synthetic
"Project: Townhouse_Project in Abha, built-up area 17256 sqm, 5 floors. Quality finishing required.",Townhouse_Project,Abha,16444,5,Raw,77,synthetic
Mall Abha على أرض مساحتها 18037 م²، مساحة البناء 8669 م²، 23 أدوار.,Mall,Abha,8603,22,UltraLuxury,83,synthetic
"Project: Office_Building in Khamis Mushait, built-up area 19023 sqm, 16 floors. Quality finishing required.",Office_Building,Khamis Mushait,19541,16,Raw,82,synthetic
إنشاء Road في مدينة Khobar بمساحة إجمالية 3947 متر مربع مكون من 20 طوابق.,Road,Khobar,4223,20,Good,96,synthetic
Development of a CommercialComplex in Hail with a total area of 15072 square meters across 27 floors.,CommercialComplex,Hail,15106,26,Luxury,65,synthetic
"Project: Office_Building in Riyadh, built-up area 15459 sqm, 22 floors. Quality finishing required.",Office_Building,Riyadh,15212,23,Raw,81,synthetic
إنشاء Mall في مدينة Khamis Mushait بمساحة إجمالية 5478 متر مربع مكون من 28 طوابق.,Mall,Khamis Mushait,5428,28,Raw,68,synthetic
مشروع Mall في Abha بمساحة 4931 م² وعدد 28 أدوار. يشمل المبنى تشطيبات عالية الجودة.,Mall,Abha,4941,29,UltraLuxury,75,synthetic
إنشاء Warehouse في مدينة Hail بمساحة إجمالية 14678 متر مربع مكون من 1 طوابق.,Warehouse,Hail,15408,1,Standard,63,synthetic
إنشاء CommercialComplex في مدينة Riyadh بمساحة إجمالية 9172 متر مربع مكون من 1 طوابق.,CommercialComplex,Riyadh,9734,1,Premium,78,synthetic
مشروع Bridge في Khobar بمساحة 12042 م² وعدد 1 أدوار. يشمل المبنى تشطيبات عالية الجودة.,Bridge,Khobar,11976,1,Good,95,synthetic
Development of a Apartment_Building in Taif with a total area of 19469 square meters across 30 floors.,Apartment_Building,Taif,19329,33,Luxury,97,synthetic
Residential_Tower Khamis Mushait على أرض مساحتها 20684 م²، مساحة البناء 7990 م²، 8 أدوار.,Residential_Tower,Khamis Mushait,7874,8,Standard,75,synthetic
إنشاء Government_Building في مدينة Riyadh بمساحة إجمالية 15818 متر مربع مكون من 17 طوابق.,Government_Building,Riyadh,15956,17,Raw,92,synthetic
Development of a Parking in Hail with a total area of 5941 square meters across 10 floors.,Parking,Hail,6009,10,Luxury,82,synthetic
مشروع Villa في Dammam بمساحة 8792 م² وعدد 11 أدوار. يشمل المبنى تشطيبات عالية الجودة.,Villa,Dammam,8853,12,Standard,95,synthetic
مشروع DataCenter في Riyadh بمساحة 17103 م² وعدد 11 أدوار. يشمل المبنى تشطيبات عالية الجودة.,DataCenter,Riyadh,16663,11,Good,88,synthetic
مشروع Residential_Tower في Tabuk بمساحة 5624 م² وعدد 29 أدوار. يشمل المبنى تشطيبات عالية الجودة.,Residential_Tower,Tabuk,5645,30,Good,70,synthetic
إنشاء Residential_Compound في مدينة Abha بمساحة إجمالية 3670 متر مربع مكون من 24 طوابق.,Residential_Compound,Abha,3754,24,UltraLuxury,91,synthetic
إنشاء Factory في مدينة Abha بمساحة إجمالية 1407 متر مربع مكون من 2 طوابق.,Factory,Abha,1454,2,Good,98,synthetic
Hospital Madinah على أرض مساحتها 41828 م²، مساحة البناء 17194 م²، 16 أدوار.,Hospital,Madinah,16333,17,Standard,64,synthetic
University Abha على أرض مساحتها 50296 م²، مساحة البناء 19958 م²، 26 أدوار.,University,Abha,19419,26,Premium,74,synthetic
Development of a Mosque in Abha with a total area of 4315 square meters across 2 floors.,Mosque,Abha,4255,2,UltraLuxury,87,synthetic
Hospital Hail على أرض مساحتها 16202 م²، مساحة البناء 5273 م²، 3 أدوار.,Hospital,Hail,5260,3,UltraLuxury,83,synthetic
CommercialComplex Riyadh على أرض مساحتها 9107 م²، مساحة البناء 5305 م²، 23 أدوار.,CommercialComplex,Riyadh,5405,23,Raw,71,synthetic
Development of a Bridge in Abha with a total area of 4793 square meters across 14 floors.,Bridge,Abha,4600,14,UltraLuxury,70,synthetic
إنشاء Hotel في مدينة Abha بمساحة إجمالية 9783 متر مربع مكون من 4 طوابق.,Hotel,Abha,9467,4,Raw,81,synthetic
"Project: Mosque in Madinah, built-up area 1975 sqm, 18 floors. Quality finishing required.",Mosque,Madinah,1988,19,Standard,71,synthetic
"Project: DataCenter in Makkah, built-up area 10605 sqm, 6 floors. Quality finishing required.",DataCenter,Makkah,11005,6,Premium,76,synthetic
إنشاء University في مدينة Jeddah بمساحة إجمالية 17957 متر مربع مكون من 10 طوابق.,University,Jeddah,18264,10,Standard,93,synthetic
"Project: Government_Building in Makkah, built-up area 17526 sqm, 23 floors. Quality finishing required.",Government_Building,Makkah,17351,22,Standard,94,synthetic
"Project: Warehouse in Taif, built-up area 2902 sqm, 24 floors. Quality finishing required.",Warehouse,Taif,2903,24,Premium,82,synthetic
مشروع Parking في Hail بمساحة 17534 م² وعدد 28 أدوار. يشمل المبنى تشطيبات عالية الجودة.,Parking,Hail,17977,27,Raw,85,synthetic
مشروع Residential_Compound في Dammam بمساحة 4942 م² وعدد 28 أدوار. يشمل المبنى تشطيبات عالية الجودة.,Residential_Compound,Dammam,4692,29,Premium,68,synthetic
Development of a Mosque in Jeddah with a total area of 18975 square meters across 6 floors.,Mosque,Jeddah,18689,6,Good,84,synthetic
إنشاء Villa في مدينة Abha بمساحة إجمالية 2330 متر مربع مكون من 11 طوابق.,Villa,Abha,2350,11,UltraLuxury,88,synthetic
Road Taif على أرض مساحتها 16709 م²، مساحة البناء 7299 م²، 14 أدوار.,Road,Taif,7253,13,Good,75,synthetic
مشروع Factory في Dammam بمساحة 8791 م² وعدد 15 أدوار. يشمل المبنى تشطيبات عالية الجودة.,Factory,Dammam,8909,14,Raw,65,synthetic
"Project: Luxury_Villa in Abha, built-up area 17933 sqm, 13 floors. Quality finishing required.",Luxury_Villa,Abha,17787,12,Standard,69,synthetic
"Project: Bridge in Riyadh, built-up area 1345 sqm, 22 floors. Quality finishing required.",Bridge,Riyadh,1352,21,Standard,96,synthetic
إنشاء Mall في مدينة Makkah بمساحة إجمالية 14546 متر مربع مكون من 3 طوابق.,Mall,Makkah,15186,3,Standard,61,synthetic
مشروع Villa في Taif بمساحة 2608 م² وعدد 29 أدوار. يشمل المبنى تشطيبات عالية الجودة.,Villa,Taif,2614,28,Premium,66,synthetic
"Project: Residential_Compound in Khobar, built-up area 11084 sqm, 16 floors. Quality finishing required.",Residential_Compound,Khobar,11387,17,Good,83,synthetic
إنشاء Apartment_Building في مدينة Khobar بمساحة إجمالية 11323 متر مربع مكون من 27 طوابق.,Apartment_Building,Khobar,11118,26,Luxury,66,synthetic
Development of a Townhouse_Project in Taif with a total area of 14702 square meters across 28 floors.,Townhouse_Project,Taif,14115,28,Luxury,98,synthetic
Development of a Office_Building in Najran with a total area of 16279 square meters across 7 floors.,Office_Building,Najran,17092,7,Standard,63,synthetic
إنشاء University في مدينة Abha بمساحة إجمالية 14299 متر مربع مكون من 8 طوابق.,University,Abha,13972,8,Standard,98,synthetic
"Project: Bridge in Madinah, built-up area 6025 sqm, 17 floors. Quality finishing required.",Bridge,Madinah,6280,17,Premium,92,synthetic
مشروع Residential_Tower في Riyadh بمساحة 16911 م² وعدد 22 أدوار. يشمل المبنى تشطيبات عالية الجودة.,Residential_Tower,Riyadh,16882,22,Good,74,synthetic
Development of a Parking in Madinah with a total area of 14068 square meters across 22 floors.,Parking,Madinah,13759,22,UltraLuxury,88,synthetic
CommercialComplex Taif على أرض مساحتها 30967 م²، مساحة البناء 12815 م²، 6 أدوار.,CommercialComplex,Taif,13710,6,Standard,65,synthetic
"Project: Townhouse_Project in Makkah, built-up area 12764 sqm, 11 floors. Quality finishing required.",Townhouse_Project,Makkah,12361,11,Standard,89,synthetic
Development of a CommercialComplex in Tabuk with a total area of 18684 square meters across 3 floors.,CommercialComplex,Tabuk,17792,3,Good,85,synthetic
مشروع Warehouse في Najran بمساحة 15695 م² وعدد 11 أدوار. يشمل المبنى تشطيبات عالية الجودة.,Warehouse,Najran,15182,12,Premium,62,synthetic
مشروع Office_Building في Hail بمساحة 7092 م² وعدد 14 أدوار. يشمل المبنى تشطيبات عالية الجودة.,Office_Building,Hail,7513,14,Good,90,synthetic
Development of a University in Najran with a total area of 9734 square meters across 6 floors.,University,Najran,9646,6,UltraLuxury,86,synthetic
Residential_Tower Tabuk على أرض مساحتها 1976 م²، مساحة البناء 1129 م²، 25 أدوار.,Residential_Tower,Tabuk,1061,25,Raw,80,synthetic
Luxury_Villa Khamis Mushait على أرض مساحتها 55433 م²، مساحة البناء 18814 م²، 14 أدوار.,Luxury_Villa,Khamis Mushait,18253,15,Premium,62,synthetic
"Project: School in Najran, built-up area 17664 sqm, 15 floors. Quality finishing required.",School,Najran,17388,15,Standard,93,synthetic
مشروع Villa في Jeddah بمساحة 19714 م² وعدد 5 أدوار. يشمل المبنى تشطيبات عالية الجودة.,Villa,Jeddah,19389,5,Standard,84,synthetic
مشروع Government_Building في Najran بمساحة 4392 م² وعدد 11 أدوار. يشمل المبنى تشطيبات عالية الجودة.,Government_Building,Najran,4572,11,Premium,65,synthetic
مشروع School في Madinah بمساحة 16629 م² وعدد 1 أدوار. يشمل المبنى تشطيبات عالية الجودة.,School,Madinah,16142,1,Premium,81,synthetic
إنشاء Mosque في مدينة Abha بمساحة إجمالية 15778 متر مربع مكون من 26 طوابق.,Mosque,Abha,15277,26,Luxury,83,synthetic
"Project: Government_Building in Hail, built-up area 8831 sqm, 6 floors. Quality finishing required.",Government_Building,Hail,9031,6,Premium,80,synthetic
مشروع Factory في Makkah بمساحة 10474 م² وعدد 22 أدوار. يشمل المبنى تشطيبات عالية الجودة.,Factory,Makkah,9863,22,Luxury,85,synthetic
Hotel Taif على أرض مساحتها 31497 م²، مساحة البناء 14916 م²، 10 أدوار.,Hotel,Taif,15026,10,Premium,72,synthetic
Development of a Hospital in Khobar with a total area of 4598 square meters across 10 floors.,Hospital,Khobar,4657,10,Luxury,67,synthetic
"Project: Townhouse_Project in Buraydah, built-up area 2011 sqm, 30 floors. Quality finishing required.",Townhouse_Project,Buraydah,1988,31,UltraLuxury,73,synthetic
Hospital Riyadh على أرض مساحتها 25896 م²، مساحة البناء 10084 م²، 21 أدوار.,Hospital,Riyadh,9840,21,UltraLuxury,61,synthetic
"Project: Parking in Jeddah, built-up area 6301 sqm, 21 floors. Quality finishing required.",Parking,Jeddah,6227,22,Good,78,synthetic
"Project: Road in Taif, built-up area 11430 sqm, 24 floors. Quality finishing required.",Road,Taif,10753,24,Standard,91,synthetic
"Project: Apartment_Building in Khobar, built-up area 3573 sqm, 2 floors. Quality finishing required.",Apartment_Building,Khobar,3625,2,Premium,86,synthetic
مشروع Warehouse في Taif بمساحة 4001 م² وعدد 10 أدوار. يشمل المبنى تشطيبات عالية الجودة.,Warehouse,Taif,3994,9,Raw,64,synthetic
"Project: Villa in Khamis Mushait, built-up area 949 sqm, 20 floors. Quality finishing required.",Villa,Khamis Mushait,867,20,Luxury,82,synthetic
"Project: Residential_Tower in Hail, built-up area 6796 sqm, 18 floors. Quality finishing required.",Residential_Tower,Hail,6861,19,Good,86,synthetic
"Project: Villa in Buraydah, built-up area 19416 sqm, 15 floors. Quality finishing required.",Villa,Buraydah,19408,15,UltraLuxury,90,synthetic
مشروع Bridge في Riyadh بمساحة 13019 م² وعدد 26 أدوار. يشمل المبنى تشطيبات عالية الجودة.,Bridge,Riyadh,12489,25,UltraLuxury,61,synthetic
CommercialComplex Buraydah على أرض مساحتها 3405 م²، مساحة البناء 2115 م²، 12 أدوار.,CommercialComplex,Buraydah,2204,12,Good,95,synthetic
Mall Tabuk على أرض مساحتها 21365 م²، مساحة البناء 13037 م²، 12 أدوار.,Mall,Tabuk,13215,12,UltraLuxury,95,synthetic
Hospital Madinah على أرض مساحتها 5001 م²، مساحة البناء 2674 م²، 2 أدوار.,Hospital,Madinah,2654,2,UltraLuxury,93,synthetic
إنشاء DataCenter في مدينة Khobar بمساحة إجمالية 2001 متر مربع مكون من 14 طوابق.,DataCenter,Khobar,2045,13,Premium,77,synthetic
مشروع Hotel في Khobar بمساحة 13214 م² وعدد 30 أدوار. يشمل المبنى تشطيبات عالية الجودة.,Hotel,Khobar,13082,30,Premium,69,synthetic
إنشاء Factory في مدينة Makkah بمساحة إجمالية 18356 متر مربع مكون من 28 طوابق.,Factory,Makkah,17870,27,Good,91,synthetic
إنشاء Apartment_Building في مدينة Jeddah بمساحة إجمالية 5292 متر مربع مكون من 15 طوابق.,Apartment_Building,Jeddah,5254,15,Luxury,80,synthetic
مشروع Office_Building في Madinah بمساحة 3789 م² وعدد 28 أدوار. يشمل المبنى تشطيبات عالية الجودة.,Office_Building,Madinah,3678,27,Good,70,synthetic
إنشاء Hotel في مدينة Taif بمساحة إجمالية 5953 متر مربع مكون من 16 طوابق.,Hotel,Taif,6118,15,Premium,75,synthetic
CommercialComplex Najran على أرض مساحتها 7612 م²، مساحة البناء 2677 م²، 29 أدوار.,CommercialComplex,Najran,2561,30,Raw,73,synthetic
مشروع Factory في Hail بمساحة 7165 م² وعدد 23 أدوار. يشمل المبنى تشطيبات عالية الجودة.,Factory,Hail,7044,23,Good,98,synthetic
مشروع Government_Building في Makkah بمساحة 11423 م² وعدد 24 أدوار. يشمل المبنى تشطيبات عالية الجودة.,Government_Building,Makkah,11660,24,Good,77,synthetic
